10:58:55:337 -> 
10:58:55:337 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:08:336 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:08:537 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:08:736 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:08:936 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:09:136 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:09:336 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:09:537 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:09:737 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:09:937 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:10:137 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:10:337 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:10:537 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:10:736 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:10:937 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:11:137 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:11:337 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:11:537 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:11:736 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:11:937 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
